date,school_closing,workplace_closing,cancel_events,gatherings_restrictions,transport_closing,stay_home_restrictions,internal_movement_restrictions,international_movement_restrictions,information_campaigns,testing_policy,contact_tracing,facial_coverings,vaccination_policy,elderly_people_protection,district,fed_state,mean_incidence,num_of_entries
2020-08-04,1,-2,2,-4,0,0,-2,3,2,3,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,1.2760880245519335,4
2020-08-08,-2,-2,2,-3,0,0,-2,3,2,3,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,3.4454376662902213,5
2020-08-24,-2,-2,2,-4,0,0,-2,3,2,3,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,1.4887693619772557,3
2020-09-04,1,-2,2,-4,0,0,0,3,2,3,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,7.589365619703605,19
2020-10-15,1,-2,2,-4,0,1,1,3,2,3,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,8.677398566953148,5
2020-10-22,1,-2,2,-4,0,-2,1,3,2,3,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,23.543824052983176,10
2020-11-02,1,2,2,4,0,1,1,3,2,3,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,50.97262720293557,9
2020-11-11,1,2,2,4,0,1,1,3,2,1,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,71.22586052828031,19
2020-11-30,1,2,2,4,1,1,1,3,2,1,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,77.29447463000284,14
2020-12-15,3,2,2,4,1,1,1,3,2,1,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,121.2283623324337,1
2020-12-16,3,3,2,4,1,2,1,3,2,1,2,2,0,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,81.59873979218199,9
2020-12-27,3,3,2,4,1,2,1,3,2,1,2,2,2,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,56.076979301143304,9
2021-01-05,3,3,2,4,1,2,-2,3,2,1,1,2,2,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,82.56289518851011,5
2021-01-10,3,3,2,4,1,-2,-2,3,2,1,1,2,2,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,62.04218443178687,42
2021-02-22,-3,3,2,4,1,-2,-2,3,2,1,1,2,2,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,77.20332548539199,2
2021-02-24,-3,3,2,4,1,-2,-2,3,2,1,1,2,3,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,82.94572159587567,5
2021-03-01,-3,2,2,4,1,-2,-2,3,2,1,1,2,3,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,96.14315827084701,19
2021-03-20,-3,2,2,4,1,-2,1,3,2,3,1,2,3,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,94.55603067171704,61
2021-05-22,-3,2,2,4,1,-2,1,3,2,3,2,2,3,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,15.711833802295681,8
2021-05-31,1,2,2,4,1,-2,1,3,2,3,2,2,3,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,10.953088877404097,6
2021-06-06,1,2,2,4,1,1,1,3,2,3,2,2,3,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,,0
2021-06-07,1,2,2,4,1,1,1,3,2,3,2,2,5,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,4.553882754283371,51
2021-08-01,1,2,2,4,1,1,1,2,2,3,2,2,5,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,14.675012282347236,2
2021-08-03,1,2,2,4,1,1,0,2,2,3,2,2,5,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,21.773251918917367,16
2021-08-20,1,2,2,3,1,1,0,2,2,3,2,2,5,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,23.926650460348753,2
2021-08-23,-3,2,2,3,1,1,0,2,2,3,2,2,5,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,33.816332650626244,5
2021-08-28,-3,-2,2,3,1,1,0,2,2,3,2,2,5,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,55.706150302555564,13
2021-09-11,1,-2,2,3,1,1,0,2,2,3,2,2,5,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,61.01295867388932,8
2021-09-21,1,-2,2,-3,1,1,0,2,2,3,2,2,5,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,30.626112589246404,9
2021-10-01,1,-2,-2,-3,1,1,0,2,2,3,2,2,5,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,56.945428095630035,8
2021-10-10,1,-2,-2,-3,0,1,0,2,2,3,2,2,5,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,76.77796281054133,18
2021-10-28,1,-2,2,-4,0,1,0,2,2,3,2,2,5,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,110.82333690147178,13
2021-11-10,-2,-2,2,-4,0,1,0,2,2,3,2,2,5,2,LK Nordwestmecklenburg,Mecklenburg-Vorpommern,116.37922783913635,5
